F,W,Z,Down,Up
1,3,1,0.0,0.03875968992248062
1,3,2,0.01680672268907568,0.10212765957446808
1,3,3,0.02083333333333337,0.05042016806722689
1,3,4,0.0,0.07291666666666667
1,3,5,0.025316455696202556,0.07575757575757576
1,7,1,0.02840909090909094,0.02332979851537646
1,7,2,0.07981220657277,0.13636363636363635
1,7,3,0.06451612903225812,0.11737089201877934
1,7,4,0.06896551724137934,0.24193548387096775
1,7,5,0.08333333333333337,0.13793103448275862
1,11,1,0.05434782608695654,0.034653465346534656
1,11,2,0.0892857142857143,0.13043478260869565
1,11,3,0.09589041095890416,0.125
1,11,4,0.140625,0.3835616438356164
1,11,5,0.2222222222222222,0.109375
1,15,1,0.03703703703703709,0.030805687203791468
1,15,2,0.11363636363636365,0.1037037037037037
1,15,3,0.0,0.22727272727272727
1,15,4,0.09999999999999998,0.75
1,15,5,0.17500000000000004,0.3
1,19,1,0.0714285714285714,0.07407407407407407
1,19,2,0.07499999999999996,0.14285714285714285
1,19,3,0.16455696202531644,0.1
1,19,4,0.171875,0.379746835443038
1,19,5,0.3132530120481928,0.453125
1,23,1,0.125,0.037383177570093455
1,23,2,0.05633802816901412,0.0625
1,23,3,0.15000000000000002,0.23943661971830985
1,23,4,0.19827586206896552,0.475
1,23,5,0.2142857142857143,0.3793103448275862
1,27,1,0.10043668122270744,0.028125
1,27,2,0.0,0.034934497816593885
1,27,3,0.22413793103448276,0.4444444444444444
1,27,4,0.16216216216216217,0.3448275862068966
1,27,5,0.27118644067796616,0.21621621621621623
1,31,1,0.13461538461538458,0.02
1,31,2,0.2710280373831776,0.07051282051282051
1,31,3,0.0625,0.2803738317757009
1,31,4,0.4107142857142857,0.3125
1,31,5,0.3448275862068966,0.32142857142857145
1,35,1,0.09166666666666667,0.019184652278177457
1,35,2,0.16993464052287577,0.14166666666666666
1,35,3,0.3153153153153153,0.26143790849673204
1,35,4,0.0,0.45045045045045046
1,35,5,0.42105263157894735,0.5
1,39,1,0.16279069767441856,0.06074766355140187
1,39,2,0.09174311926605505,0.2558139534883721
1,39,3,0.0,0.24770642201834864
1,39,4,0.5714285714285714,1.0
1,39,5,0.4130434782608695,0.42857142857142855

