F,W,Z,Down,Up
5,3,1,0.0,0.008145363408521303
5,3,2,0.00527704485488123,0.01680672268907563
5,3,3,0.016000000000000014,0.021108179419525065
5,3,4,0.007042253521126751,0.008
5,3,5,0.0117647058823529,0.02112676056338028
17,3,1,0.0,0.008424599831508003
17,3,2,0.012987012987012991,0.035381750465549346
17,3,3,0.012195121951219523,0.05627705627705628
17,3,4,0.012987012987012991,0.012195121951219513
17,3,5,0.0,0.03896103896103896
29,3,1,0.002277904328018221,0.008433734939759036
29,3,2,0.005747126436781658,0.03189066059225513
29,3,3,0.02238805970149249,0.09195402298850575
29,3,4,0.0,0.0
29,3,5,0.0,0.021505376344086023
41,3,1,0.0023809523809523725,0.010382255781028787
41,3,2,0.019607843137254943,0.04523809523809524
41,3,3,0.021052631578947323,0.11764705882352941
41,3,4,0.0,0.010526315789473684
41,3,5,0.0,0.01282051282051282
53,3,1,0.0,0.008260196179659268
53,3,2,0.0092592592592593,0.037037037037037035
53,3,3,0.01098901098901095,0.1111111111111111
53,3,4,0.0,0.01098901098901099
53,3,5,0.0,0.009433962264150943
65,3,1,0.002577319587628857,0.015151515151515152
65,3,2,0.00990099009900991,0.04896907216494845
65,3,3,0.009433962264150941,0.10891089108910891
65,3,4,0.0,0.009433962264150943
65,3,5,0.0,0.01020408163265306
77,3,1,0.0,0.014492753623188406
77,3,2,0.0,0.04199475065616798
77,3,3,0.008196721311475419,0.13761467889908258
77,3,4,0.0,0.0
77,3,5,0.0,0.010752688172043012
89,3,1,0.0,0.01925925925925926
89,3,2,0.0,0.035422343324250684
89,3,3,0.008196721311475419,0.12030075187969924
89,3,4,0.0,0.00819672131147541
89,3,5,0.0,0.01694915254237288
101,3,1,0.005333333333333301,0.016164584864070537
101,3,2,0.006451612903225823,0.048
101,3,3,0.020979020979020935,0.0967741935483871
101,3,4,0.0,0.006993006993006993
101,3,5,0.021276595744680882,0.046153846153846156
113,3,1,0.0025062656641604564,0.015570934256055362
113,3,2,0.021390374331550777,0.05012531328320802
113,3,3,0.020000000000000018,0.0855614973262032
113,3,4,0.0,0.02
113,3,5,0.0449438202247191,0.05714285714285714
17,7,1,0.006861063464837058,0.012209302325581395
17,7,2,0.008474576271186418,0.044596912521440824
17,7,3,0.014925373134328401,0.13135593220338984
17,7,4,0.0,0.014925373134328358
17,7,5,0.0,0.01818181818181818
29,7,1,0.0025839793281653423,0.0046439628482972135
29,7,2,0.01754385964912286,0.05426356589147287
29,7,3,0.08759124087591241,0.16374269005847952
29,7,4,0.0,0.0
29,7,5,0.0,0.014705882352941176
41,7,1,0.0,0.006546644844517185
41,7,2,0.07777777777777772,0.0547945205479452
41,7,3,0.09836065573770492,0.15
41,7,4,0.0,0.0
41,7,5,0.0,0.0
53,7,1,0.010810810810810811,0.005484460694698354
53,7,2,0.0,0.051351351351351354
53,7,3,0.0,0.20588235294117646
53,7,4,0.0,0.0
53,7,5,0.0,0.0
65,7,1,0.0,0.007275666936135812
65,7,2,0.03125,0.044585987261146494
65,7,3,0.023809523809523836,0.1640625
65,7,4,0.0,0.0
65,7,5,0.0,0.0
77,7,1,0.0,0.008522727272727272
77,7,2,0.03260869565217395,0.09090909090909091
77,7,3,0.08108108108108103,0.31521739130434784
77,7,4,0.0,0.02702702702702703
77,7,5,0.0,0.022222222222222223
89,7,1,0.0,0.009598603839441536
89,7,2,0.018181818181818188,0.1
89,7,3,0.032786885245901676,0.14545454545454545
89,7,4,0.0,0.0
89,7,5,0.0,0.2
101,7,1,0.007092198581560294,0.005676442762535478
101,7,2,0.0,0.06028368794326241
101,7,3,0.044117647058823484,0.17543859649122806
101,7,4,0.0,0.029411764705882353
101,7,5,0.10416666666666663,0.09433962264150944
113,7,1,0.003759398496240629,0.007633587786259542
113,7,2,0.0,0.06015037593984962
113,7,3,0.128,0.20754716981132076
113,7,4,0.0,0.024
113,7,5,0.16666666666666663,0.1875
17,11,1,0.006578947368421018,0.014818880351262349
17,11,2,0.02583025830258301,0.09868421052631579
17,11,3,0.05853658536585371,0.1070110701107011
17,11,4,0.010752688172043001,0.004878048780487805
17,11,5,0.00877192982456143,0.021505376344086023
29,11,1,0.012820512820512775,0.006211180124223602
29,11,2,0.05405405405405406,0.08974358974358974
29,11,3,0.05769230769230771,0.21621621621621623
29,11,4,0.0,0.0
29,11,5,0.04761904761904767,0.03260869565217391
41,11,1,0.0,0.0012610340479192938
41,11,2,0.07407407407407407,0.06835443037974684
41,11,3,0.0,0.2222222222222222
41,11,4,0.0,0.0
41,11,5,0.0,0.0
53,11,1,0.0,0.006472491909385114
53,11,2,0.0,0.13953488372093023
53,11,3,0.2149532710280374,0.35294117647058826
53,11,4,0.018867924528301883,0.009345794392523364
53,11,5,0.02564102564102566,0.018867924528301886
65,11,1,0.0,0.0045662100456621
65,11,2,0.040000000000000036,0.125
65,11,3,0.11688311688311692,0.24
65,11,4,0.0,0.012987012987012988
65,11,5,0.03125,0.07407407407407407
77,11,1,0.014778325123152691,0.014619883040935672
77,11,2,0.03947368421052633,0.07881773399014778
77,11,3,0.10989010989010994,0.15789473684210525
77,11,4,0.04347826086956519,0.02197802197802198
77,11,5,0.12,0.043478260869565216
89,11,1,0.016260162601625994,0.013282732447817837
89,11,2,0.06153846153846154,0.06504065040650407
89,11,3,0.09836065573770492,0.1076923076923077
89,11,4,0.0,0.03278688524590164
89,11,5,0.0,0.125
101,11,1,0.01948051948051943,0.0110062893081761
101,11,2,0.05681818181818177,0.07142857142857142
101,11,3,0.1351351351351351,0.11363636363636363
101,11,4,0.0,0.05405405405405406
101,11,5,0.15384615384615385,0.15
113,11,1,0.0,0.025477707006369428
113,11,2,0.0,0.06382978723404255
113,11,3,0.09999999999999998,0.13953488372093023
113,11,4,0.06896551724137934,0.35
113,11,5,0.125,0.13793103448275862
17,15,1,0.0036855036855036882,0.009725261366399222
17,15,2,0.020283975659229236,0.06388206388206388
17,15,3,0.06542056074766356,0.060851926977687626
17,15,4,0.015306122448979553,0.024922118380062305
17,15,5,0.00666666666666671,0.015306122448979591
29,15,1,0.0,0.0037359900373599006
29,15,2,0.027624309392265234,0.054945054945054944
29,15,3,0.13559322033898302,0.15469613259668508
29,15,4,0.0,0.0
29,15,5,0.0,0.0625
41,15,1,0.0024630541871921707,0.0169971671388102
41,15,2,0.046875,0.10837438423645321
41,15,3,0.1964285714285714,0.2109375
41,15,4,0.0,0.0
41,15,5,0.0,0.0
53,15,1,0.016574585635359074,0.012304250559284116
53,15,2,0.04878048780487809,0.14917127071823205
53,15,3,0.1630434782608695,0.1951219512195122
53,15,4,0.0,0.0
53,15,5,0.0,0.0
65,15,1,0.007692307692307665,0.01682905225863596
65,15,2,0.02985074626865669,0.16153846153846155
65,15,3,0.052631578947368474,0.22388059701492538
65,15,4,0.0625,0.03508771929824561
65,15,5,0.0,0.0
77,15,1,0.01041666666666663,0.017326732673267328
77,15,2,0.11724137931034484,0.109375
77,15,3,0.040000000000000036,0.1724137931034483
77,15,4,0.0,0.1
77,15,5,0.0547945205479452,0.1
89,15,1,0.0,0.018094089264173704
89,15,2,0.04705882352941182,0.13043478260869565
89,15,3,0.0,0.08235294117647059
89,15,4,0.10256410256410253,0.058823529411764705
89,15,5,0.2727272727272727,0.28205128205128205
101,15,1,0.016574585635359074,0.03
101,15,2,0.0,0.09944751381215469
101,15,3,0.0,0.2857142857142857
101,15,4,0.0,0.12
101,15,5,0.12962962962962965,0.3333333333333333
113,15,1,0.012658227848101222,0.028735632183908046
113,15,2,0.11188811188811187,0.08227848101265822
113,15,3,0.030303030303030276,0.1048951048951049
113,15,4,0.14473684210526316,0.16161616161616163
113,15,5,0.15384615384615385,0.34210526315789475
29,19,1,0.003898635477582846,0.0018433179723502304
29,19,2,0.0461538461538461,0.03508771929824561
29,19,3,0.09375,0.16923076923076924
29,19,4,0.0,0.0
29,19,5,0.012658227848101222,0.0625
41,19,1,0.01866666666666672,0.027155788470700333
41,19,2,0.08391608391608396,0.10133333333333333
41,19,3,0.18333333333333335,0.1048951048951049
41,19,4,0.0,0.0
41,19,5,0.0,0.0
53,19,1,0.024767801857585092,0.02197112366603892
53,19,2,0.12631578947368416,0.15479876160990713
53,19,3,0.060975609756097615,0.08421052631578947
53,19,4,0.0,0.0
53,19,5,0.0,0.0
65,19,1,0.024752475247524774,0.011882998171846435
65,19,2,0.134020618556701,0.06435643564356436
65,19,3,0.045454545454545414,0.07216494845360824
65,19,4,0.0,0.0
65,19,5,0.0,0.0
77,19,1,0.05405405405405406,0.01775147928994083
77,19,2,0.07476635514018692,0.08558558558558559
77,19,3,0.0,0.17757009345794392
77,19,4,0.0,0.0
77,19,5,0.0,0.0
89,19,1,0.026200873362445365,0.05448717948717949
89,19,2,0.0,0.11790393013100436
89,19,3,0.0,0.3333333333333333
89,19,4,0.09999999999999998,0.2777777777777778
89,19,5,0.12121212121212122,0.4
101,19,1,0.03260869565217395,0.05059203444564048
101,19,2,0.007692307692307665,0.11956521739130435
101,19,3,0.2407407407407407,0.33076923076923076
101,19,4,0.2222222222222222,0.17592592592592593
101,19,5,0.2786885245901639,0.5555555555555556
113,19,1,0.0234375,0.03467666354264293
113,19,2,0.0,0.0625
113,19,3,0.0714285714285714,0.19101123595505617
113,19,4,0.08771929824561409,0.42857142857142855
113,19,5,0.19999999999999996,0.45614035087719296
29,23,1,0.00670016750418756,0.01557632398753894
