Weight,DownFocalBlur,UpFocalBlur,DownBlur,UpBlur
9,0.4090909091,0.225,0.4864864865,0.3620689655
11,0.5625,0.2903225806,0.4655172414,0.5609756098
13,0.6451612903,0.0869565217,0.4634146341,0.4949494949
15,0.7391304348,0.6559139785,0.5555555556,0.25
17,0.5483870968,0.5863874346,0.425,0.5151515152
19,0.5654450262,0.6916666667,0.4545454545,0.5555555556
21,0.6416666667,0.4456521739,0.3950617284,0.4736842105
23,0.4565217391,0.5114503817,0.5789473684,0.5425531915
25,0.4885496183,0.6071428571,0.6170212766,0.5465116279
27,0.6785714286,0.7256637168,0.4069767442,0.347826087
29,0.6415929204,0.5280898876,0.5217391304,0.625
