F,W,Z,Down,Up
17,7,1,0.0,0
29,7,1,0.25773993808049533,0.5813953488372093
41,7,1,0.22585924713584293,0.5944272445820433
53,7,1,0.29981718464351004,0.662847790507365
65,7,1,0.35569927243330635,0.6361974405850092
77,7,1,0.30113636363636365,0.65642683912692
89,7,1,0.5244328097731239,0.8238636363636364
101,7,1,0.5241248817407758,0.8298429319371727
113,7,1,0.5528898582333697,0.7767265846736046
125,7,1,0.5966149506346967,0.7753544165757906
17,11,1,0.0,0
29,11,1,0.19668737060041408,0.5208562019758507
41,11,1,0.255359394703657,0.567287784679089
53,11,1,0.28478964401294493,0.6292559899117276
65,11,1,0.3853881278538813,0.6189320388349514
77,11,1,0.3157894736842105,0.6210045662100456
89,11,1,0.46963946869070206,0.6549707602339181
101,11,1,0.37421383647798745,0.7210626185958254
113,11,1,0.32484076433121023,0.6981132075471698
125,11,1,0.5621156211562115,0.8471337579617835
17,15,1,0.0,0
29,15,1,0.34163553341635533,0.3809871140286895
41,15,1,0.12747875354107652,0.502283105022831
53,15,1,0.28299776286353473,0.6118980169971672
65,15,1,0.30203720106288756,0.4966442953020134
77,15,1,0.3391089108910891,0.5403011514614703
89,15,1,0.37394451145958985,0.6815181518151815
101,15,1,0.18999999999999995,0.6899879372738239
113,15,1,0.4224137931034483,0.83
125,15,1,0.5807106598984771,0.6954022988505747
29,19,1,0.0,0
41,19,1,0.2591710338256312,0.45069124423963136
53,19,1,0.33396107972379163,0.4916626965221534
65,19,1,0.32358318098720296,0.4726930320150659
77,19,1,0.1775147928994083,0.473491773308958
89,19,1,0.34775641025641024,0.6272189349112426
101,19,1,0.38751345532831005,0.6282051282051282
113,19,1,0.5445173383317713,0.673842841765339
125,19,1,0.4097859327217125,0.7094657919400188
29,23,1,0.0,0
41,23,1,0.2914746543778802,0.35514018691588783
53,23,1,0.27464788732394363,0.506336405529954
65,23,1,0.1875,0.38380281690140844
77,23,1,0.2814601344860711,0.5625
89,23,1,0.3296703296703297,0.5523535062439962
101,23,1,0.3309352517985612,0.6318681318681318
113,23,1,0.27459016393442626,0.6474820143884892
125,23,1,0.4632034632034632,0.6680327868852459
29,27,1,0.0,0
41,27,1,0.2854077253218884,0.4069060773480663
53,27,1,0.32352941176470584,0.5123390557939914
65,27,1,0.23913043478260865,0.44730392156862747
77,27,1,0.22857142857142854,0.5217391304347826
89,27,1,0.4896073903002309,0.5212121212121212
101,27,1,0.3863368669022379,0.5912240184757506
113,27,1,0.46129541864139023,0.7385159010600707
125,27,1,0.5,0.6113744075829384
41,31,1,0.0,0
53,31,1,0.39313984168865435,0.3827392120075047
65,31,1,0.34632034632034636,0.49340369393139843
77,31,1,0.2456896551724138,0.5339105339105339
89,31,1,0.3501742160278746,0.5258620689655172
101,31,1,0.3324873096446701,0.6097560975609756
113,31,1,0.3380281690140845,0.5939086294416244
125,31,1,0.37722419928825623,0.5915492957746479
41,35,1,0.0,0
53,35,1,0.3814229249011858,0.4419928825622776
65,35,1,0.3236842105263158,0.45553359683794464
77,35,1,0.2990196078431373,0.5381578947368421
89,35,1,0.3610586011342155,0.6107843137254902
101,35,1,0.24092409240924095,0.5311909262759924
113,35,1,0.2894736842105263,0.6567656765676567
125,35,1,0.5809399477806789,0.631578947368421
41,39,1,0.0,0
53,39,1,0.1794294294294294,0.4584578601315003
65,39,1,0.3936889556724268,0.34534534534534533
77,39,1,0.31101190476190477,0.48910593538692715
89,39,1,0.33333333333333337,0.5595238095238095
101,39,1,0.31818181818181823,0.6379310344827587
113,39,1,0.3780760626398211,0.5818181818181818
125,39,1,0.4550669216061185,0.7214765100671141
53,43,1,0.0,0
65,43,1,0.24110671936758898,0.34706546275395034
77,43,1,0.4245954692556634,0.48484848484848486
89,43,1,0.3027522935779816,0.5844660194174758
101,43,1,0.332995951417004,0.6055045871559633
113,43,1,0.33333333333333337,0.6133603238866396
125,43,1,0.33333333333333337,0.6693548387096774
17,7,2,0.0,0
29,7,2,0.2713178294573644,0.38078902229845624
41,7,2,0.3287671232876712,0.6227390180878553
53,7,2,0.44324324324324327,0.6529680365296804
65,7,2,0.5414012738853503,0.7486486486486487
77,7,2,0.48484848484848486,0.6815286624203821
89,7,2,0.4,0.8939393939393939
101,7,2,0.5815602836879432,0.8142857142857143
113,7,2,0.6052631578947368,0.8687943262411347
