F,W,Up,Down
19,5,0.14828897338403046,0.2884250474383302
31,5,0.2441860465116279,0.5627376425855514
43,5,0.34562211981566815,0.6434108527131783
55,5,0.38926174496644295,0.7557603686635944
67,5,0.6414565826330532,0.8053691275167785
79,5,0.6536144578313253,0.8067226890756303
91,5,0.6300940438871474,0.8554216867469879
103,5,0.6073825503355705,0.8181818181818182
115,5,0.6508474576271186,0.8624161073825504
127,5,0.7,0.911864406779661
139,5,0.7411347517730497,0.8392857142857143
151,5,0.6447368421052632,0.875886524822695
163,5,0.7665615141955836,0.8947368421052632
175,5,0.7463126843657817,0.9116719242902208
187,5,0.8522012578616353,0.855457227138643
19,9,0.0,NaN
31,9,0.2341356673960613,0.42857142857142855
43,9,0.30188679245283023,0.4573304157549234
55,9,0.37341772151898733,0.6446540880503144
67,9,0.5357142857142857,0.6561181434599156
79,9,0.5877437325905293,0.6845238095238095
91,9,0.6363636363636364,0.6908077994428969
103,9,0.5687203791469194,0.7818181818181819
115,9,0.4375,0.7819905213270142
127,9,0.4222222222222223,0.8125
139,9,0.4666666666666667,0.8333333333333334
151,9,0.4863813229571985,0.8761904761904762
163,9,0.61328125,0.8482490272373541
175,9,0.6342592592592593,0.8203125
187,9,0.6887755102040816,0.8472222222222222
19,13,0.0,NaN
31,13,0.11224489795918369,0.3319088319088319
43,13,0.19918699186991873,0.3469387755102041
55,13,0.25,0.5203252032520326
67,13,0.4421052631578948,0.6938775510204082
79,13,0.5656565656565656,0.6210526315789474
91,13,0.4772727272727273,0.7239057239057239
103,13,0.48633879781420764,0.6818181818181818
115,13,0.3939393939393939,0.7650273224043715
127,13,0.23478260869565215,0.7272727272727273
139,13,0.36444444444444446,0.8
151,13,0.4738955823293173,0.7911111111111111
163,13,0.49096385542168675,0.8313253012048193
175,13,0.6369230769230769,0.8042168674698795
187,13,0.754863813229572,0.8
19,17,0.0,NaN
31,17,0.24543610547667338,0.2723342939481268
43,17,0.2112068965517241,0.44016227180527384
55,17,0.4175365344467641,0.5646551724137931
67,17,0.572538860103627,0.7056367432150313
79,17,0.45238095238095233,0.7512953367875648
91,17,0.47482014388489213,0.47619047619047616
103,17,0.5534351145038168,0.5971223021582733
115,17,0.4285714285714286,0.7900763358778626
127,17,0.1428571428571429,0.6691729323308271
139,17,0.11864406779661019,0.9047619047619048
151,17,0.24590163934426235,0.8305084745762712
163,17,0.2650602409638554,0.7704918032786885
175,17,0.15555555555555556,0.6987951807228916
187,17,0.7972972972972973,0.6111111111111112
31,21,0.0,NaN
43,21,0.29807692307692313,0.35064935064935066
55,21,0.23529411764705888,0.5673076923076923
67,21,0.5555555555555556,0.5882352941176471
79,21,0.4811715481171548,0.5978835978835979
91,21,0.5544554455445545,0.6485355648535565
103,21,0.5844155844155844,0.6270627062706271
115,21,0.45959595959595956,0.5844155844155844
127,21,0.35820895522388063,0.7424242424242424
139,21,0.13761467889908252,0.7910447761194029
151,21,0.27464788732394363,0.7798165137614679
163,21,0.2146596858638743,0.7676056338028169
175,21,0.3571428571428571,0.7277486910994765
187,21,0.6808510638297872,0.6142857142857143
31,25,0.0,NaN
43,25,0.3191489361702128,0.3140495867768595
55,25,0.24028268551236753,0.4723404255319149
67,25,0.3214285714285714,0.5618374558303887
79,25,0.37254901960784315,0.5357142857142857
91,25,0.4657534246575342,0.6274509803921569
103,25,0.5384615384615384,0.589041095890411
115,25,0.19354838709677424,0.6205128205128205
127,25,0.351931330472103,0.8709677419354839
139,25,0.2338709677419355,0.8111587982832618
151,25,0.17307692307692313,0.782258064516129
163,25,0.2068965517241379,0.7884615384615384
175,25,0.15384615384615385,0.8275862068965517
187,25,0.6653992395437263,0.8461538461538461
31,29,0.0,NaN
43,29,0.24180967238689544,0.32491582491582494
55,29,0.4089935760171306,0.5288611544461779
67,29,0.6187624750499001,0.6423982869379015
79,29,0.47535211267605637,0.5748502994011976
91,29,0.5375722543352601,0.5880281690140845
103,29,0.5311203319502075,0.6011560693641619
115,29,0.35036496350364965,0.6556016597510373
127,29,0.3663663663663663,0.6861313868613139
139,29,0.28685258964143423,0.8768768768768769
151,29,0.17872340425531918,0.7370517928286853
163,29,0.2995951417004049,0.7914893617021277
175,29,0.36986301369863017,0.7530364372469636
187,29,0.25,0.6712328767123288
43,33,0.0,NaN
55,33,0.35610465116279066,0.4670807453416149
67,33,0.5537037037037037,0.4636627906976744
79,33,0.368421052631579,0.5944444444444444
91,33,0.5121293800539084,0.47368421052631576
103,33,0.4548872180451128,0.6199460916442049
115,33,0.36693548387096775,0.575187969924812
127,33,0.3252032520325203,0.7741935483870968
139,33,0.09740259740259738,0.8536585365853658
151,33,0.2359550561797753,0.7402597402597403
163,33,0.04166666666666663,0.7640449438202247
175,33,0.3793103448275862,0.7083333333333334
187,33,0.578125,0.6379310344827587
43,37,0.0,NaN
55,37,0.18505747126436778,0.3629032258064516
67,37,0.4436860068259386,0.3425287356321839
79,37,0.4295302013422819,0.4812286689419795
91,37,0.3136363636363636,0.5413870246085011
103,37,0.2948717948717948,0.5272727272727272
115,37,0.5087719298245614,0.5993589743589743
127,37,0.24252491694352163,0.9122807017543859
139,37,0.487603305785124,0.8571428571428571
151,37,0.25688073394495414,0.8126721763085399
163,37,0.19999999999999996,0.7339449541284404
175,37,0.463855421686747,0.7
187,37,0.7836257309941521,0.7409638554216867
43,41,0.0,NaN
55,41,0.12121212121212122,0.255741127348643
67,41,0.4109311740890689,0.2943722943722944
79,41,0.24137931034482762,0.4898785425101215
91,41,0.3909090909090909,0.6551724137931034
103,41,0.3084415584415584,0.5303030303030303
115,41,0.42342342342342343,0.711038961038961
127,41,0.2479338842975206,0.6396396396396397
139,41,0.36184210526315785,0.7768595041322314
151,41,0.45130641330166266,0.881578947368421
163,41,0.3294117647058824,0.665083135391924
175,41,0.5367647058823529,0.6352941176470588
187,41,0.5833333333333333,0.7132352941176471
55,45,0.0,NaN
67,45,0.3156028368794326,0.34517766497461927
79,45,0.40108401084010836,0.49645390070921985
91,45,0.4467680608365019,0.4634146341463415
103,45,0.33333333333333337,0.5399239543726235
115,45,0.3918918918918919,0.6363636363636364
127,45,0.21052631578947367,0.6013513513513513
139,45,0.17142857142857137,0.5614035087719298
151,45,0.6295399515738499,0.6857142857142857
163,45,0.4158415841584159,0.7554479418886199
175,45,0.4482758620689655,0.6435643564356436
187,45,0.5579399141630901,0.6839080459770115
55,49,0.0,NaN
67,49,0.4954682779456193,0.22577092511013216
79,49,0.8865384615384615,0.11379657603222558
91,49,0.4769874476987448,0.5461538461538461
103,49,0.35546875,0.5920502092050209
115,49,0.5718901453957996,0.6328125
127,49,0.3922518159806295,0.6752827140549273
139,49,0.3315789473684211,0.8184019370460048
151,49,0.3529411764705882,0.6842105263157895
163,49,0.45945945945945943,0.6470588235294118
175,49,0.5042016806722689,0.5585585585585585
