F,W,Up,Down
19,101,0.2189239332,0.170263789
31,141,0.3538289547,0.1916666667
43,181,0.3653543307,0.3384484228
55,221,0.6194690265,0.2332402235
67,261,0.5710955711,0.5571672355
79,301,0.5780022447,0.3896713615
91,341,0.5330812854,0.4192771084
103,381,0.3951219512,0.5415335463
115,421,0.5976845152,0.4281345566
127,461,0.5827338129,0.5426429241
139,501,0.6626506024,0.4317180617
19,101,0.3115942029,0.2078853047
31,141,0.3538289547,0.1916666667
43,181,0.3653543307,0.3384484228
55,221,0.6194690265,0.2332402235
67,261,0.5710955711,0.5571672355
79,301,0.5780022447,0.3896713615
91,341,0.5330812854,0.4192771084
103,381,0.3951219512,0.5415335463
115,421,0.5976845152,0.4281345566
127,461,0.5827338129,0.5426429241
139,501,0.6626506024,0.4317180617
19,101,0.3803071364,0.468013468
31,141,0.3538289547,0.1916666667
43,181,0.3653543307,0.3384484228
55,221,0.6194690265,0.2332402235
67,261,0.5710955711,0.5571672355
79,301,0.5780022447,0.3896713615
91,341,0.5330812854,0.4192771084
103,381,0.3951219512,0.5415335463
115,421,0.5976845152,0.4281345566
127,461,0.5827338129,0.5426429241
139,501,0.6626506024,0.4317180617
19,101,0.4369310793,0.3451704545
31,141,0.3538289547,0.1916666667
43,181,0.3653543307,0.3384484228
55,221,0.6194690265,0.2332402235
67,261,0.5710955711,0.5571672355
79,301,0.5780022447,0.3896713615
91,341,0.5330812854,0.4192771084
103,381,0.3951219512,0.5415335463
115,421,0.5976845152,0.4281345566
127,461,0.5827338129,0.5426429241
139,501,0.6626506024,0.4317180617
19,101,0.5041322314,0.1967526266
31,141,0.3538289547,0.1916666667
43,181,0.3653543307,0.3384484228
55,221,0.6194690265,0.2332402235
67,261,0.5710955711,0.5571672355
79,301,0.5780022447,0.3896713615
91,341,0.5330812854,0.4192771084
103,381,0.3951219512,0.5415335463
115,421,0.5976845152,0.4281345566
127,461,0.5827338129,0.5426429241
139,501,0.6626506024,0.4317180617
19,101,0.6546391753,0.4645476773
31,141,0.3538289547,0.1916666667
43,181,0.3653543307,0.3384484228
55,221,0.6194690265,0.2332402235
67,261,0.5710955711,0.5571672355
79,301,0.5780022447,0.3896713615
91,341,0.5330812854,0.4192771084
103,381,0.3951219512,0.5415335463
115,421,0.5976845152,0.4281345566
127,461,0.5827338129,0.5426429241
139,501,0.6626506024,0.4317180617
19,101,0.6073903002,0.4426580922
31,141,0.3538289547,0.1916666667
43,181,0.3653543307,0.3384484228
55,221,0.6194690265,0.2332402235
67,261,0.5710955711,0.5571672355
79,301,0.5780022447,0.3896713615
91,341,0.5330812854,0.4192771084
103,381,0.3951219512,0.5415335463
115,421,0.5976845152,0.4281345566
127,461,0.5827338129,0.5426429241
139,501,0.6626506024,0.4317180617
19,101,0.6083150985,0.5300480769
31,141,0.3538289547,0.1916666667
43,181,0.3653543307,0.3384484228
55,221,0.6194690265,0.2332402235
67,261,0.5710955711,0.5571672355
79,301,0.5780022447,0.3896713615
91,341,0.5330812854,0.4192771084
103,381,0.3951219512,0.5415335463
115,421,0.5976845152,0.4281345566
127,461,0.5827338129,0.5426429241
139,501,0.6626506024,0.4317180617
19,101,0.6487025948,0.5209513024
31,141,0.3538289547,0.1916666667
43,181,0.3653543307,0.3384484228
55,221,0.6194690265,0.2332402235
67,261,0.5710955711,0.5571672355
79,301,0.5780022447,0.3896713615
91,341,0.5330812854,0.4192771084
103,381,0.3951219512,0.5415335463
115,421,0.5976845152,0.4281345566
127,461,0.5827338129,0.5426429241
139,501,0.6626506024,0.4317180617
19,101,0.7324200913,0.6218045113
31,141,0.3538289547,0.1916666667
43,181,0.3653543307,0.3384484228
55,221,0.6194690265,0.2332402235
67,261,0.5710955711,0.5571672355
79,301,0.5780022447,0.3896713615
91,341,0.5330812854,0.4192771084
103,381,0.3951219512,0.5415335463
115,421,0.5976845152,0.4281345566
127,461,0.5827338129,0.5426429241
139,501,0.6626506024,0.4317180617
19,101,0.7487309645,0.854368932
31,141,0.3538289547,0.1916666667
43,181,0.3653543307,0.3384484228
55,221,0.6194690265,0.2332402235
67,261,0.5710955711,0.5571672355
79,301,0.5780022447,0.3896713615
91,341,0.5330812854,0.4192771084
103,381,0.3951219512,0.5415335463
115,421,0.5976845152,0.4281345566
127,461,0.5827338129,0.5426429241
139,501,0.6626506024,0.4317180617
