F,W,Z,Down,Up
1,3,1,0.38069989395546133,0.45182724252491696
1,7,1,0.2623762376237624,0.4241781548250265
1,11,1,0.42417061611374407,0.46534653465346537
1,15,1,0.33333333333333337,0.45734597156398105
1,19,1,0.485981308411215,0.5185185185185185
1,23,1,0.5,0.34579439252336447
1,27,1,0.48,0.471875
1,31,1,0.5227817745803358,0.4666666666666667
1,35,1,0.5,0.34532374100719426
1,39,1,0.5996309963099631,0.4485981308411215
1,3,2,0.34375,0.2851063829787234
1,7,2,0.3369565217391305,0.28125
1,11,2,0.45185185185185184,0.41304347826086957
1,15,2,0.33333333333333337,0.34814814814814815
1,19,2,0.39583333333333337,0.42857142857142855
1,23,2,0.43231441048034935,0.3958333333333333
1,27,2,0.4871794871794872,0.4104803493449782
1,31,2,0.41666666666666663,0.48717948717948717
1,35,2,0.37209302325581395,0.475
1,39,2,0.5364806866952789,0.627906976744186
1,3,3,0.2816901408450704,0.2815126050420168
1,7,3,0.3214285714285714,0.4225352112676056
1,11,3,0.31818181818181823,0.375
1,15,3,0.32499999999999996,0.4318181818181818
1,19,3,0.3943661971830986,0.325
1,23,3,0.11111111111111116,0.39436619718309857
1,27,3,0.5327102803738317,0.8888888888888888
1,31,3,0.43790849673202614,0.38317757009345793
1,35,3,0.5137614678899083,0.5098039215686274
1,39,3,0.3076923076923077,0.3394495412844037
1,3,4,0.19354838709677424,0.22916666666666666
1,7,4,0.28767123287671237,0.2903225806451613
1,11,4,0.0,0.3287671232876712
1,15,4,0.40506329113924056,0.625
1,19,4,0.36250000000000004,0.4810126582278481
1,23,4,0.3793103448275862,0.525
1,27,4,0.25,0.5172413793103449
1,31,4,0.5225225225225225,0.5
1,35,4,0.0,0.4144144144144144
1,39,4,0.6153846153846154,1.0
1,3,5,0.2931034482758621,0.30303030303030304
1,7,5,0.34375,0.29310344827586204
1,11,5,0.35,0.25
1,15,5,0.359375,0.3
1,19,5,0.5,0.484375
1,23,5,0.43243243243243246,0.46551724137931033
1,27,5,0.5178571428571428,0.40540540540540543
1,31,5,0.5,0.5714285714285714
1,35,5,0.4285714285714286,0.5
1,39,5,0.5925925925925926,0.42857142857142855

