-------------------focalGstar------zoom-------------------
Zooom,Down,Up
01,0.0211286440224659,0.03365695792880263
02,0.6213592233009708,0.03466666666666662
03,0.41733333333333333,0.07524271844660191
04,0.4077669902912621,0.05860805860805862
05,0.3516483516483517,0.089622641509434
06,0.3018867924528302,0.1278195488721805
07,0.42105263157894735,0.19696969696969702
-------------------gStar-------zoom------------------
Zoom,Down,Up
01,0.8478941223793033,0.5290040259058288
02,0.806406441449326,0.4097951024487756
03,0.6602948525737131,0.35772029102667746
04,0.4995957962813258,0.19617834394904454
05,0.4636942675159236,0.04878048780487809
06,0.43902439024390244,0.061224489795918324
07,0.6020408163265306,0.017241379310344862
